order_item_id,order_id,product_id,quantity
308,1235,103,1
309,1256,120,5
310,1009,121,5
311,1295,108,2
312,1150,114,1
313,1181,108,5
314,1214,106,1
315,1269,112,1
316,1270,118,5
317,1260,118,1
318,1200,128,4
319,1023,121,4
320,1192,109,1
321,1183,126,1
322,1177,108,1
323,1298,124,3
324,1069,102,3
325,1280,111,2
326,1238,123,4
327,1094,126,2
328,1033,123,4
329,1019,110,2
330,1023,126,2
331,1022,111,3
332,1264,113,5
333,1243,109,1
334,1098,110,3
335,1025,128,3
336,1140,104,3
337,1224,129,4
338,1226,129,4
339,1174,106,4
340,1255,112,5
341,1137,126,1
342,1218,103,4
343,1093,118,3
344,1165,104,1
345,1168,122,3
346,1157,115,5
347,1219,106,4
348,1180,115,1
349,1181,120,4
350,1141,121,1
351,1039,122,4
352,1187,117,2
353,1016,105,5
354,1225,102,2
355,1035,108,3
356,1186,113,5
357,1017,120,2
358,1231,112,3
359,1228,125,1
360,1294,105,5
361,1188,113,3
362,1143,108,1
363,1014,124,2
364,1256,117,4
365,1288,104,3
366,1134,123,4
367,1110,120,3
368,1252,107,1
369,1070,128,1
370,1232,106,4
371,1045,126,3
372,1178,123,1
373,1282,118,3
374,1154,128,2
375,1090,126,3
376,1261,108,1
377,1103,126,2
378,1122,126,4
379,1014,112,5
380,1294,112,4
381,1283,105,5
382,1045,103,3
383,1204,123,4
384,1270,114,4
385,1295,103,2
386,1163,121,1
387,1231,115,5
388,1177,105,5
389,1094,125,2
390,1222,117,1
391,1064,117,2
392,1156,106,2
393,1166,130,2
394,1178,117,3
395,1041,109,2
396,1283,109,2
397,1156,120,5
398,1048,117,2
399,1298,105,2
400,1173,127,5
401,1022,127,1
402,1042,102,5
403,1136,121,2
404,1293,114,5
405,1016,116,5
406,1149,121,3
407,1248,108,4
408,1153,115,1
409,1031,106,4
410,1213,116,4
411,1105,111,5
412,1074,111,3
413,1177,113,2
414,1190,117,5
415,1055,111,2
416,1239,104,3
417,1231,108,2
418,1050,102,3
419,1197,128,5
420,1215,108,2
421,1168,130,5
422,1161,107,2
423,1256,117,4
424,1256,129,3
425,1255,101,1
426,1202,117,4
427,1124,107,5
428,1181,102,1
429,1145,116,5
430,1241,110,5
431,1005,128,1
432,1221,105,3
433,1188,125,4
434,1188,102,4
435,1027,119,5
436,1100,112,5
437,1148,103,4
438,1259,115,5
439,1144,127,5
440,1061,105,1
441,1202,112,3
442,1286,112,2
443,1102,120,5
444,1206,117,1
445,1024,102,2
446,1171,126,4
447,1266,115,2
448,1264,105,3
449,1164,106,4
450,1154,119,3
451,1260,127,5
452,1273,116,5
453,1154,116,1
454,1189,111,1
455,1214,119,3
456,1014,120,4
457,1136,121,5
458,1296,108,1
459,1299,116,2
460,1269,121,5
461,1195,105,2
462,1017,119,1
463,1098,101,4
464,1161,114,2
465,1212,123,2
466,1211,117,5
467,1242,128,1
468,1071,117,2
469,1288,111,4
470,1270,113,3
471,1089,115,5
472,1176,118,3
473,1136,120,4
474,1099,108,3
475,1286,110,2
476,1153,125,3
477,1107,123,4
478,1163,116,3
479,1287,130,3
480,1148,104,5
481,1279,113,4
482,1177,125,2
483,1149,102,3
484,1041,112,4
485,1132,124,4
486,1110,107,5
487,1139,130,5
488,1140,105,1
489,1123,108,1
490,1272,108,2
491,1027,104,4
492,1170,123,4
493,1052,122,2
494,1003,118,2
495,1209,121,4
496,1245,121,2
497,1148,111,3
498,1031,130,1
499,1294,108,5
500,1020,130,2
